x,y
109.457955,36.622309
109.457817,36.622175
109.457728,36.622716
109.457913,36.622221
109.457809,36.622396
109.457558,36.621789
109.458384,36.622349
109.457898,36.622279
109.457917,36.622205
109.457881,36.62233
109.457823,36.622348
109.457803,36.622371
109.457915,36.622303
109.45792,36.622243
109.45842,36.621551
109.457777,36.62268
109.457785,36.622331
109.457898,36.622309
109.457894,36.62228
109.457937,36.62228
109.457779,36.62232
109.457768,36.622354
109.457934,36.622177
109.457765,36.622437
109.457781,36.622313
109.457883,36.622255
109.457766,36.622549
109.457842,36.622305
109.457773,36.622778
109.457775,36.622146
109.45797,36.62231
109.457864,36.622313
109.457793,36.622239
109.457931,36.622289
109.457941,36.622143
109.457859,36.622263
109.457897,36.622324
109.457925,36.622193
109.457932,36.622187
109.457984,36.622503
109.457779,36.622345
109.457911,36.622284
109.457771,36.622613
109.457915,36.622153
109.457938,36.622265
109.457777,36.62236
109.457779,36.622284
109.457906,36.622137
109.457733,36.622645
109.457938,36.622248
109.457792,36.622304
109.457923,36.622171
109.457973,36.622325
109.457988,36.622284
109.457806,36.622329
109.457735,36.6222
109.457924,36.622143
109.457921,36.622216
109.458414,36.621586
109.45793,36.622204
109.45794,36.622254
109.457856,36.622374
109.457805,36.622205
109.457943,36.622256
109.45795,36.622293
109.457942,36.622264
109.457904,36.622294
109.457819,36.622185
109.457861,36.622294
109.457918,36.622242
109.45782,36.622456
109.457776,36.622398
109.457849,36.6223
109.457782,36.622189
109.458454,36.621455
109.4583708,36.62206868
109.457839,36.622359
109.4578,36.622288
109.457917,36.622126
109.457777,36.62264
109.457795,36.622165
109.457812,36.622305
109.457806,36.622275
109.457953,36.622309
109.457951,36.622213
109.457949,36.621808
109.457951,36.62217
109.457833,36.62233
109.457816,36.622331
109.45794,36.622276
109.457785,36.622383
109.458406,36.62161
109.457767,36.62247
109.457892,36.622099
109.457784,36.622159
109.457785,36.622317
109.457787,36.622272
109.457901,36.622311
109.4578,36.622481
109.457777,36.622396
109.457948,36.622221
109.457941,36.622159
109.458023,36.62224
109.457933,36.622193
109.457897,36.62234
109.457569,36.621784
109.457818,36.622212
109.457815,36.622317
109.457906,36.622147
109.457858,36.622326
109.457762,36.622299
109.457773,36.622288
109.457945,36.622238
109.457656,36.621692
109.45794,36.622223
109.457995,36.6223
109.457785,36.622315
109.457772,36.622485
109.457787,36.62236
109.457903,36.622328
109.457814,36.622149
109.45781,36.622347
109.457836,36.622218
109.457933,36.622298
109.457782,36.622215
109.457975,36.622329
109.457889,36.622329
109.457895,36.622212
109.457862,36.622262
109.457919,36.622228
109.457944,36.622295
109.457576,36.621627
109.457929,36.622289
109.457909,36.622248
109.457845,36.622287
109.457858,36.622232
109.457842,36.622256
109.457629,36.622717
109.457787,36.622515
109.457775,36.622324
109.457934,36.622301
109.45775,36.622331
109.45778,36.622294
109.45779,36.622326
109.457924,36.622165
109.457935,36.622201
109.457993,36.622324
109.458,36.622326
109.45764,36.622686
109.457891,36.62223
109.457825,36.622386
109.457886,36.622246
109.457602,36.622206
109.457989,36.622324
109.457892,36.622497
109.457809,36.622144
109.4578,36.622499
109.457802,36.62231
109.457928,36.622248
109.45793,36.622187
109.457758,36.622845
109.457777,36.62233
109.457997,36.622149
109.457785,36.62217
109.457768,36.622858
109.457971,36.622303
109.457791,36.622325
109.457906,36.622257
109.457868,36.622367
109.457783,36.622361
109.457767,36.622536
109.457891,36.622344
109.457929,36.622126
109.457927,36.622171
109.457771,36.622508
109.45793,36.622176
109.457773,36.622861
109.457796,36.622297
109.457926,36.622271
109.457778,36.622349
109.457663,36.622704
109.457999,36.62232
109.457833,36.622274
109.457912,36.622172
109.457787,36.622169
109.458368,36.62231
109.457858,36.622276
109.457932,36.622135
109.457822,36.622203
109.457557,36.621612
109.457806,36.622447
109.457941,36.622222
109.457942,36.622223
109.457786,36.622305
109.45806,36.622145
109.457928,36.622146
109.457939,36.622271
109.457909,36.622296
109.457858,36.622323
109.457785,36.622329
109.457814,36.622421
109.457939,36.62232
109.45782,36.622145
109.457832,36.622338
109.457817,36.622326
109.457885,36.622244
109.457762,36.622233
109.45781,36.622376
109.457777,36.622329
109.457787,36.62234
109.457832,36.622281
109.457774,36.622338
109.457975,36.622316
109.457978,36.622225
109.457894,36.622287
109.457766,36.622502
109.4579,36.622259
109.457777,36.622337
109.457989,36.622348
109.457837,36.622479
109.457651,36.622627
109.457898,36.622335
109.457837,36.622483
109.457882,36.622233
109.457947,36.622301
109.457912,36.622317
109.457806,36.622294
109.457942,36.622192
109.457923,36.622143
109.457924,36.622171
109.458397,36.622248
109.457787,36.622243
109.457807,36.6224
109.45799,36.622354
109.457778,36.622213
109.45775,36.622509
109.457778,36.622188
109.457901,36.62223
109.457815,36.622187
109.457814,36.622276
109.458468,36.621263
109.457935,36.622152
109.457959,36.622263
109.457903,36.622159
109.457911,36.622143
109.457946,36.622159
109.45772,36.622268
109.457774,36.622849
109.45799,36.622263
109.457978,36.622319
109.457829,36.622374
109.457921,36.622149
109.457947,36.622233
109.457825,36.622357
109.457782,36.622357
109.457919,36.622338
109.457971,36.622309
109.457965,36.622292
109.458514,36.621453
109.457855,36.622233
109.457915,36.622161
109.458003,36.622159
109.457808,36.622332
109.457936,36.622144
109.45779,36.622457
109.45795,36.622477
109.45793,36.622279
109.457756,36.622352
109.457949,36.622184
109.457848,36.622307
109.457886,36.622382
109.457841,36.62222
109.457778,36.622315
109.457879,36.62226
109.457779,36.622361
109.457914,36.622179
109.457783,36.622307
109.457778,36.62229
109.457896,36.622428
109.457747,36.622511
109.458408,36.621555
109.45776,36.622524
109.457928,36.622152
109.457541,36.621768
109.457763,36.622166
109.457996,36.622238
109.457755,36.622431
109.457875,36.622233
109.457914,36.622213
109.457949,36.622339
109.458295,36.62185
109.457562,36.622507
109.457757,36.622558
109.457908,36.622325
109.458015,36.621959
109.457778,36.622332
109.457847,36.622271
109.457777,36.622626
109.457774,36.622476
109.45773,36.62252
109.4579,36.622397
109.45793,36.622272
109.457784,36.622382
109.457905,36.622171
109.457764,36.62237
109.457807,36.62237
109.457735,36.622205
109.457806,36.622288
109.457915,36.62228
109.457724,36.622494
109.457817,36.622389
109.457793,36.622222
109.45777,36.622336
109.457777,36.622323
109.457924,36.622227
109.457859,36.62225
109.457971,36.622317
109.457981,36.622193
109.457807,36.622357
109.457826,36.622486
109.45788,36.622318
109.457791,36.622497
109.457941,36.622176
109.457852,36.622299
109.457777,36.622331
109.457864,36.622332
109.457888,36.622159
109.457777,36.622227
109.457913,36.622141
109.457911,36.622303
109.45786,36.622294
109.457749,36.622478
109.457901,36.622133
109.457956,36.622172
109.457792,36.622479
109.457777,36.622339
109.457827,36.62231
109.457902,36.622254
109.457808,36.622448
109.457904,36.622169
109.457895,36.622271
109.457909,36.622309
109.457905,36.622125
109.457918,36.622162
109.45795,36.622213
109.457877,36.622283
109.457924,36.622212
