x,y
109.434285,36.569507
109.434444,36.56935
109.434256,36.569637
109.434321,36.569654
109.434451,36.569447
109.434439,36.569372
109.434598,36.569555
109.434464,36.569571
109.434258,36.569669
109.434408,36.569538
109.434271,36.569611
109.434616,36.569489
109.434389,36.569682
109.43447,36.569351
109.434428,36.569665
109.434411,36.569569
109.434437,36.569407
109.434268,36.569687
109.434368,36.56961
109.434518,36.56935
109.434268,36.569689
109.434345,36.569681
109.434447,36.569494
109.434502,36.569567
109.434459,36.569618
109.434504,36.569526
109.434326,36.569661
109.434272,36.569658
109.434309,36.569444
109.434252,36.569498
109.434242,36.569683
109.434271,36.569676
109.434477,36.569485
109.434384,36.569458
109.434232,36.569507
109.434467,36.56943
109.434471,36.569532
109.434436,36.56968
109.434658,36.569505
109.434477,36.569506
109.434444,36.569652
109.434414,36.569386
109.434446,36.569507
109.434249,36.569507
109.43447,36.569642
109.434266,36.569505
109.434375,36.569391
109.434562,36.569521
109.434504,36.569565
109.434441,36.569558
109.434472,36.569328
109.434416,36.569452
109.434507,36.569565
109.434451,36.569663
109.434457,36.569331
109.434504,36.569494
109.43426,36.569605
109.434353,36.569634
109.434421,36.569486
109.434505,36.569592
109.434448,36.569333
109.434273,36.569496
109.434494,36.569514
109.434421,36.569619
109.434461,36.569593
109.434288,36.569686
109.434448,36.569634
109.434456,36.569337
109.434292,36.569687
109.434502,36.569366
109.434475,36.569344
109.434334,36.569643
109.434618,36.569474
109.434484,36.569608
109.43427,36.569486
109.43441,36.569408
109.434498,36.569363
109.43449,36.569645
109.434504,36.56955
109.434446,36.569419
109.434371,36.569685
109.434381,36.569628
109.434325,36.569506
109.434541,36.569591
109.434463,36.569604
109.434401,36.569518
109.434295,36.569507
109.434484,36.569492
109.43447,36.569389
109.434456,36.569349
109.434464,36.569472
109.434231,36.569506
109.434459,36.5695
109.434582,36.569577
109.434641,36.5695
109.434453,36.56964
109.434233,36.569679
109.434454,36.569536
109.434388,36.569648
109.434243,36.56957
109.434424,36.569497
109.434438,36.569529
109.434375,36.569614
109.43434,36.569602
109.434266,36.569503
109.434431,36.56951
109.43428,36.569515
109.434675,36.569506
109.434406,36.569685
109.434474,36.569616
109.434452,36.569639
109.43447,36.569616
109.434455,36.569384
109.434329,36.569507
109.434449,36.569356
109.434574,36.569547
109.434407,36.569566
109.434429,36.569408
109.434338,36.569634
109.434502,36.569569
109.434597,36.569564
109.434485,36.569542
109.434457,36.569344
109.434594,36.56934
109.434517,36.56953
109.434505,36.569573
109.434481,36.569595
109.434343,36.569723
109.434305,36.569685
109.434392,36.569639
109.434478,36.56962
109.43449,36.569496
109.43434,36.569621
109.434453,36.569328
109.434468,36.569585
109.434298,36.569461
109.434367,36.569526
109.434243,36.569675
109.434512,36.569629
109.434455,36.569346
109.434353,36.569607
109.434432,36.56955
109.43447,36.569532
109.434233,36.569523
109.434346,36.569507
109.434447,36.56945
109.434504,36.569529
109.434343,36.569669
109.434238,36.569673
109.434261,36.569678
109.434485,36.569561
109.434503,36.569539
109.434662,36.569515
109.434266,36.569679
109.434379,36.569807
109.43439,36.569475
109.434424,36.5694
109.434448,36.569647
109.434508,36.569547
109.434469,36.569535
109.434365,36.56965
109.434628,36.5695
109.434422,36.569641
109.43442,36.569506
109.434476,36.569404
109.434465,36.569378
109.434302,36.569609
109.434364,36.569681
109.434561,36.569507
109.434087,36.569801
109.434295,36.569525
109.434456,36.569681
109.434458,36.56964
109.434329,36.569667
109.43449,36.569646
109.434281,36.569641
109.434493,36.569606
109.434314,36.569515
109.434449,36.569682
109.434291,36.569751
109.434507,36.569604
109.434284,36.569676
109.434458,36.569649
109.434298,36.569507
109.434281,36.569503
109.434376,36.569507
109.434648,36.569509
109.434408,36.569648
109.434458,36.569638
109.434397,36.569598
109.434498,36.56936
109.434565,36.569519
109.43429,36.569677
109.434475,36.569558
109.434318,36.569684
109.434235,36.569678
109.434442,36.569585
109.434465,36.569517
109.434453,36.569686
109.434456,36.569505
109.434235,36.569687
109.434507,36.569552
109.434458,36.569507
109.434301,36.569665
109.434488,36.569636
109.434451,36.569564
109.434236,36.569508
109.434461,36.569508
109.434299,36.569603
109.434232,36.569671
109.434382,36.569572
109.434599,36.569363
109.434434,36.56951
109.487946,36.599434
109.487983,36.599475
109.487972,36.599369
109.487998,36.5995
109.488063,36.599325
109.488,36.599516
109.487956,36.599382
109.487964,36.599371
109.4881,36.599477
109.488097,36.599482
109.487996,36.599337
109.488005,36.599347
109.487982,36.599414
109.488125,36.599455
109.487966,36.599386
109.487931,36.599412
109.487994,36.599351
109.488088,36.599481
109.487874,36.599468
109.488,36.599435
109.488014,36.599338
109.488118,36.599486
109.488088,36.59948
109.487981,36.599351
109.487957,36.59939
109.487973,36.599477
109.488004,36.59951
109.488001,36.599355
109.487944,36.599411
109.487954,36.599402
109.48799,36.599443
109.487978,36.599364
109.487963,36.599405
109.487986,36.599383
109.487999,36.59935
109.487991,36.599339
109.487993,36.599354
109.488121,36.599459
109.487975,36.599389
109.487887,36.599481
109.488061,36.599497
109.487971,36.599407
109.488022,36.599316
109.488001,36.599352
109.487918,36.599416
109.48789,36.599512
109.487996,36.599358
109.487975,36.599376
109.48797,36.599382
109.487971,36.599322
109.488087,36.599479
109.488094,36.599424
109.488066,36.599473
109.487843,36.599473
109.487956,36.599498
109.487983,36.599377
109.488005,36.599354
109.48805,36.599442
109.487986,36.599358
109.487994,36.599342
109.48794,36.59942
109.487924,36.59935
109.488037,36.599509
109.487908,36.599425
109.487986,36.599375
109.487985,36.599448
109.487961,36.599381
109.488014,36.599326
109.488063,36.599491
109.487985,36.599367
109.488011,36.59952
109.488111,36.599441
109.487956,36.599381
109.487945,36.599393
109.488125,36.59947
109.487989,36.599424
109.487946,36.599424
109.488086,36.599498
109.487846,36.599485
109.487971,36.599384
109.487983,36.599369
109.488118,36.599461
109.488006,36.599349
109.487968,36.599387
109.48796,36.599491
109.488072,36.599488
109.487973,36.599374
109.487971,36.599372
109.488061,36.599462
109.488063,36.599507
109.488128,36.599486
109.488069,36.599454
109.487992,36.59937
109.487989,36.599353
109.488076,36.599429
109.487978,36.599417
109.487973,36.599378
109.48789,36.599517
109.487974,36.599377
109.488098,36.599433
109.487959,36.599388
109.487973,36.599451
109.487983,36.599374
109.488092,36.599456
109.487973,36.599382
109.488121,36.599478
109.488117,36.599439
109.487943,36.599386
109.487967,36.599454
109.48794,36.5994
109.488055,36.599516
109.487995,36.599342
109.487923,36.599491
109.488014,36.59934
109.487973,36.599385
109.488087,36.599453
109.488058,36.599523
109.488001,36.59951
109.487999,36.599375
109.488102,36.599477
109.488053,36.599549
109.488007,36.599381
109.488127,36.599483
109.487921,36.599399
109.487981,36.599359
109.487957,36.59941
109.48797,36.599459
109.487947,36.599438
109.488064,36.599461
109.487981,36.59937
109.488032,36.599472
109.48793,36.599415
109.487967,36.599404
109.487971,36.599387
109.487991,36.599366
109.487988,36.599367
109.487973,36.599373
109.488086,36.599441
109.488006,36.599338
109.487982,36.599382
109.488,36.599342
109.487993,36.599402
109.487991,36.599384
109.487915,36.599456
109.487798,36.599182
109.488007,36.599343
109.487995,36.599487
109.48792,36.599425
109.488055,36.599513
109.488002,36.599353
109.488118,36.599437
109.487845,36.599512
109.48796,36.599505
109.488003,36.599515
109.487972,36.599368
109.487997,36.599344
109.488064,36.599456
109.487982,36.599357
109.487983,36.599401
109.487969,36.599364
109.487987,36.599359
109.48796,36.599397
109.488013,36.599336
109.48799,36.59936
109.488062,36.599455
109.487824,36.599496
109.487918,36.599453
109.487944,36.599395
109.488127,36.599482
109.487967,36.599397
109.487982,36.599404
109.487949,36.599394
109.487987,36.599406
109.488441,36.599529
109.487987,36.599349
109.487994,36.599331
109.487977,36.59936
109.488045,36.599517
109.487983,36.59935
109.487992,36.599363
109.488004,36.599509
109.487901,36.599424
109.487981,36.599395
109.488073,36.599504
109.487986,36.599364
109.487951,36.599413
109.488001,36.599529
109.488088,36.599483
109.487967,36.599405
109.487981,36.599399
109.487985,36.599352
109.487958,36.59951
109.487975,36.599379
109.488076,36.599458
109.487936,36.599427
109.488126,36.599488
109.487916,36.599404
109.48796,36.59936
109.488049,36.599491
109.487979,36.599373
109.487891,36.599434
109.487963,36.599413
109.487988,36.59937
109.488119,36.599454
109.488221,36.599532
109.487989,36.599416
109.488063,36.599466
109.488008,36.599521
109.488088,36.599475
109.487876,36.599468
109.488038,36.59952
109.488002,36.599368
109.487961,36.59944
109.487968,36.59938
109.488063,36.599453
109.487903,36.599456
109.487984,36.599437
109.48791,36.599352
109.48801,36.599319
109.487995,36.599358
109.487974,36.599381
109.487978,36.599376
109.4879,36.599478
109.488006,36.599468
109.487955,36.599406
109.487942,36.599373
109.48794,36.599445
109.488002,36.599415
109.487966,36.599382
109.487817,36.599504
109.488085,36.599477
109.48808,36.599449
109.488001,36.599344
109.487943,36.599379
109.487899,36.599513
109.488104,36.599475
109.488061,36.599518
109.487956,36.59942
109.488004,36.599393
109.487942,36.599409
109.487973,36.599402
109.487971,36.599402
109.487987,36.599362
109.48802,36.599396
109.487986,36.599363
109.487912,36.599419
109.487949,36.599367
109.487894,36.5994
109.487924,36.599411
109.487973,36.599366
109.488001,36.599348
109.48794,36.599398
109.487997,36.59935
109.487963,36.599383
109.487916,36.599473
109.487925,36.599507
109.487972,36.599374
109.487936,36.599407
109.488062,36.599464
109.487985,36.599516
109.487942,36.599489
109.487999,36.599386
109.487901,36.599487
109.487954,36.599388
109.488062,36.599438
109.488089,36.599433
109.487962,36.5994
109.488004,36.599502
109.487969,36.599379
109.487956,36.599404
109.488003,36.599341
109.488059,36.599512
109.488063,36.599422
109.488004,36.599522
109.487944,36.5994
109.487946,36.599402
109.488074,36.599462
109.487937,36.599419
109.487945,36.599432
109.487965,36.599365
109.488123,36.599477
109.488047,36.599533
109.487989,36.599417
109.487978,36.599475
109.487989,36.599449
109.48788,36.599545
109.487804,36.599016
109.487995,36.599388
109.487965,36.599382
109.487983,36.599429
109.487921,36.599456
109.487995,36.599368
109.488096,36.599426
109.487973,36.599504
109.487989,36.599421
109.487879,36.599504
109.488045,36.599544
109.487982,36.599359
109.487981,36.599405
109.487958,36.599382
109.488005,36.599346
109.487982,36.599413
109.48798,36.599359
109.487987,36.599437
109.487983,36.599395
109.488023,36.599321
109.487949,36.599408
109.487985,36.599461
109.488071,36.599461
109.487914,36.59949
109.487959,36.599402
109.487994,36.599368
109.487983,36.599378
109.487981,36.599354
109.487843,36.599505
109.487996,36.599365
109.487999,36.599356
109.487974,36.599463
109.487898,36.599487
109.487971,36.599483
109.48808,36.599429
109.488072,36.59948
109.487992,36.599357
109.487995,36.599353
109.487992,36.599352
109.488013,36.59938
109.487929,36.599407
109.487964,36.599515
109.487986,36.599357
109.488003,36.599408
109.487864,36.599468
109.488008,36.599362
109.488126,36.599481
109.487989,36.599344
109.488021,36.599356
109.487985,36.599383
109.48798,36.599401
109.48799,36.599345
109.488108,36.599441
109.48795,36.599358
109.487941,36.599388
109.487947,36.599346
109.487906,36.599434
109.487959,36.59938
109.487967,36.599396
109.488118,36.599445
109.487998,36.59937
109.487989,36.59936
109.487992,36.599373
109.487871,36.599452
109.487854,36.59951
109.487944,36.59942
109.487965,36.599398
109.487972,36.599414
109.487832,36.599509
109.487976,36.59944
109.488,36.599372
109.48796,36.59939
109.488003,36.59939
109.487849,36.599476
109.48798,36.59936
109.48807,36.59945
109.487988,36.599349
109.487921,36.599506
109.487977,36.599368
109.488002,36.599345
109.488115,36.599442
109.48798,36.599397
109.487956,36.599422
109.487966,36.599431
109.487975,36.599404
109.487868,36.5995
109.487956,36.599427
109.487986,36.599437
109.487986,36.599394
109.488074,36.599433
109.487929,36.599442
109.487982,36.599388
109.487947,36.59942
109.487981,36.599365
109.487963,36.599377
109.488,36.599484
109.487883,36.599432
109.487989,36.599382
109.48807,36.599459
109.487949,36.599351
109.488002,36.599491
109.488067,36.599455
109.488018,36.599289
109.488083,36.599445
109.487995,36.599357
109.488005,36.599413
109.487985,36.599364
109.488125,36.599461
109.487907,36.599404
109.487969,36.599377
109.488112,36.599434
109.487984,36.599374
109.487967,36.599425
109.487981,36.599373
109.488065,36.599481
109.488116,36.599439
109.487867,36.599488
109.488064,36.599517
109.487936,36.599439
109.488069,36.599241
109.488008,36.599371
109.487826,36.599506
109.488445,36.599526
109.487981,36.599356
109.488122,36.599462
109.487976,36.599394
109.487973,36.599501
109.487919,36.599426
109.487991,36.599359
109.488126,36.599224
109.487992,36.599509
109.488001,36.599334
109.488095,36.599452
109.487961,36.599406
109.487954,36.599424
109.487972,36.599351
109.48797,36.59937
109.488006,36.599381
109.488102,36.599489
109.487999,36.5995
109.487953,36.599383
109.488054,36.599518
109.488003,36.599389
109.487989,36.599451
109.487982,36.599368
109.488057,36.599506
109.487978,36.599359
109.487967,36.599416
109.487909,36.599426
109.487941,36.599378
109.488125,36.599468
109.487996,36.599363
109.488,36.599391
109.487952,36.59939
109.487968,36.599492
109.487957,36.599391
109.48804,36.599517
109.487964,36.599432
109.487879,36.59945
109.488004,36.599492
109.488066,36.599451
109.487998,36.599384
109.48801,36.599178
109.487976,36.59946
109.487998,36.599445
109.488001,36.599356
109.487985,36.599361
109.487995,36.599351
109.488005,36.599358
109.488068,36.5995
