food,hotel,shopping,service,beauty,travel,entertainment,sports,education,media,medicine,car,traffic,finace,estate,company,government
12,5,9,17,6,4,3,1,31,1,10,4,16,17,17,10,27
9,2,8,22,22,1,1,0,15,1,36,0,7,13,29,3,7
11,3,25,17,9,10,2,3,15,2,9,17,13,7,23,4,21
11,7,16,18,8,4,3,1,38,2,10,5,17,9,18,9,15
16,4,27,18,13,2,1,1,7,2,10,23,12,5,16,5,29
9,5,15,20,7,4,1,0,25,0,5,33,12,10,26,4,15
19,7,29,29,9,3,5,0,14,2,12,7,29,9,3,3,14
9,4,9,33,13,1,4,1,19,1,15,7,29,18,8,1,20
17,12,19,16,7,13,6,2,16,5,9,2,14,18,12,5,20
11,2,22,25,4,1,3,0,23,1,17,8,9,3,55,0,8
6,5,7,6,6,8,6,1,26,0,8,28,34,7,27,6,11
19,4,19,16,13,9,3,0,10,2,9,23,12,11,21,2,20
7,4,11,5,2,1,1,0,10,0,4,2,103,8,13,3,18
10,5,23,23,9,5,2,13,8,1,8,24,21,9,10,9,13
18,6,14,16,11,3,3,2,17,2,12,20,22,8,6,4,26
16,4,26,19,12,3,2,0,7,5,14,15,10,11,15,6,27
0,2,13,13,5,39,0,0,32,0,5,1,11,15,25,2,28
10,6,10,29,10,18,6,0,19,4,11,2,26,10,7,1,22
9,3,19,13,2,1,0,13,15,0,5,40,25,5,16,10,16
7,2,0,7,1,2,1,1,12,15,3,0,32,13,3,37,41
10,1,13,23,5,29,2,0,11,18,7,8,9,8,16,0,20
5,3,16,15,9,11,0,1,22,1,7,35,32,5,15,2,14
6,6,11,9,3,5,3,0,12,1,4,1,87,9,8,6,20
10,6,18,30,11,4,3,1,12,2,9,11,8,11,20,8,31
35,5,25,20,13,8,4,3,21,0,7,3,2,1,43,0,2
5,5,13,31,8,20,2,0,19,2,5,7,22,9,19,8,17
16,6,14,21,10,3,3,2,19,1,16,10,18,15,9,6,26
18,5,27,16,5,3,3,1,33,1,14,14,9,6,26,4,7
9,0,17,24,10,1,5,0,30,0,29,10,7,2,38,4,6
12,6,5,7,9,0,0,0,8,0,19,5,37,3,25,2,22
10,13,28,9,6,1,11,0,16,1,9,1,7,8,48,3,21
1,1,27,19,9,7,1,0,11,1,1,26,23,16,19,3,26
11,7,10,14,12,6,2,1,28,1,12,12,10,12,24,4,25
17,3,15,24,6,1,3,0,24,1,10,12,15,4,40,3,15
11,4,13,17,8,3,5,1,39,3,28,11,16,5,13,1,16
19,7,20,15,5,5,9,0,25,1,4,22,11,9,8,10,21
4,5,8,14,6,22,2,0,0,0,8,7,93,7,6,0,8
8,0,26,9,6,0,2,0,11,0,22,28,43,3,8,13,13
10,4,16,21,4,1,4,0,20,0,4,31,19,5,44,3,5
9,2,19,16,4,37,4,0,18,0,16,13,18,9,15,1,11
35,5,17,12,7,8,8,3,17,1,11,2,15,5,36,5,5
1,6,2,2,1,0,0,9,20,0,1,69,38,1,37,4,1
8,5,9,19,5,4,3,0,33,1,15,1,13,17,37,4,19
11,6,22,25,12,3,5,0,33,0,13,2,18,11,14,6,9
1,17,35,20,12,0,3,2,24,0,12,33,26,0,0,3,5
6,6,12,20,6,8,4,1,19,7,8,0,8,7,30,5,45
7,15,24,8,3,2,2,0,5,1,2,75,18,6,6,2,14
8,10,23,19,13,3,9,0,29,1,22,11,17,5,8,3,10
8,3,13,8,1,6,2,15,12,0,6,49,30,3,7,10,17
5,3,11,16,5,31,6,0,23,2,7,1,11,14,20,2,34
9,2,15,8,2,1,1,12,17,0,20,35,20,5,17,8,17
4,5,18,7,2,1,4,0,22,2,23,42,30,3,13,0,14
18,3,16,19,11,3,2,1,14,2,16,25,18,3,7,6,29
13,6,22,32,16,4,6,0,5,2,16,8,26,12,6,1,16
11,7,11,13,15,4,3,1,4,3,26,13,16,4,36,11,16
5,6,13,20,8,5,2,0,25,1,8,2,17,15,39,3,23
10,0,11,26,9,0,1,1,35,0,13,12,14,3,42,4,12
6,2,16,15,5,1,0,17,9,0,7,49,25,4,5,13,18
2,2,6,15,5,3,3,1,6,1,5,14,74,9,25,2,19
11,9,22,16,11,3,3,2,17,2,16,2,22,11,21,0,22
6,5,7,12,2,3,2,0,41,0,4,0,9,12,71,3,15
14,2,14,22,5,0,2,0,28,0,16,4,10,2,56,4,11
15,5,17,26,14,2,2,1,10,2,10,18,12,4,9,9,35
4,1,21,23,8,5,1,0,17,1,7,20,23,14,15,4,26
20,8,16,14,6,6,2,1,46,1,6,1,6,12,25,3,18
10,11,17,31,17,4,6,3,15,0,13,1,10,20,14,7,13
3,0,25,25,10,6,0,0,14,0,7,52,14,1,32,3,3
7,5,27,25,10,6,3,0,10,2,4,11,17,16,19,3,27
6,4,27,24,3,3,3,0,13,1,11,34,38,7,3,0,14
10,1,12,27,4,2,1,2,31,2,7,10,26,6,29,2,19
16,3,10,12,15,1,3,1,14,2,20,2,11,9,57,3,13
7,1,36,8,5,1,1,1,5,1,6,1,5,6,17,42,9
14,8,28,20,6,2,6,0,6,2,13,15,14,8,33,4,11
2,2,5,6,1,7,2,0,6,2,4,4,107,3,13,0,27
11,8,9,27,13,3,1,0,10,1,8,10,32,9,29,4,17
12,8,9,20,8,2,3,1,19,1,8,11,30,19,9,7,23
11,7,27,24,9,1,2,1,23,1,13,1,22,8,27,0,13
15,8,19,16,1,5,6,1,27,8,3,1,9,5,28,2,38
22,0,23,12,2,28,4,0,7,0,6,0,30,9,20,1,30
7,1,6,20,2,6,5,0,34,0,6,24,35,1,23,5,17
7,3,18,21,9,3,3,0,18,2,7,35,10,6,15,4,31
24,7,13,16,12,5,2,1,21,2,7,10,18,17,11,7,17
11,6,15,24,10,3,4,1,13,5,15,4,11,9,26,6,30
9,4,16,23,21,2,2,1,56,1,9,1,12,7,15,2,11
0,0,18,39,0,0,0,0,6,0,9,49,45,0,9,0,19
13,2,10,33,11,1,1,0,20,0,34,9,18,2,15,5,18
2,0,2,5,1,0,1,31,2,0,3,58,25,8,9,25,3
1,0,11,14,8,0,2,0,23,0,19,5,1,0,101,0,10
0,0,6,5,2,11,6,0,15,1,6,35,43,1,26,6,29
19,2,15,20,4,9,6,0,9,10,6,15,4,2,15,0,57
7,1,34,11,4,2,17,1,20,1,7,1,21,5,11,40,8
10,5,21,14,5,6,5,0,16,8,17,12,22,6,13,2,31
5,3,8,9,7,0,1,0,19,2,3,2,8,2,111,1,8
8,7,27,11,8,11,2,0,24,1,7,0,10,17,23,5,28
11,8,12,10,7,5,4,1,65,3,6,2,10,18,10,2,17
9,4,13,11,8,4,4,1,23,2,9,0,58,10,14,5,17
18,8,10,19,9,4,4,2,19,5,8,6,12,16,22,8,22
19,9,18,10,5,8,4,4,12,4,5,7,33,16,10,4,24
1,0,9,5,1,8,4,0,29,5,4,34,25,5,28,6,27
4,2,11,35,8,11,1,0,15,1,4,25,31,4,31,1,10
11,6,14,14,19,5,4,1,33,2,9,13,14,6,14,2,25
6,6,8,12,1,20,5,2,14,4,6,4,8,5,12,5,76
